bids_id,age_range,attitude_towards_hypnosis,country_of_residence,description_type_1,description_type_2,description_type_3,description_type_4,effective_of_hypnoanalgesia,expectancy_1,expectancy_2,expectancy_3,expectancy_4,experiences_freetext_1,experiences_freetext_2,experiences_freetext_3,experiences_freetext_4,felt_discomfort,felt_discomfort_free_description,gender,hypnosis_depth_1,hypnosis_depth_2,hypnosis_depth_3,hypnosis_depth_4,knowledge_level_on_hypnosis,knowledge_source,knowledge_source_other,language,motivation_to_get_hypnotized,prefered_procedure,procedure_type_1,procedure_type_2,procedure_type_3,procedure_type_4,suspected_control,suspected_real_hypnosis,which_real_hypnosis,which_real_control,tried_hypnosis_before,tried_hypnosis_before_for_pain
21,18 - 24,-1,Magyarorszag,hypnosis,control,hypnosis,control,3,4,2,4,2,Kicsit relaxaltabbnak ereztem magam de nem hinnem hogy a tudatos elmem teljesen kikapcsolt,Egyaltalan nem ereztem hogy egy elmelyult allapotban lennek,Fizikailaig teljesen relaxaltnak ereztem magam szinte az alvas kuszoben elmem viszont egy ennel kevesbbe relaxalt meg mindig igen aktiv allapotban volt,Semmilyen kulonbseget nem ereztem a hanganyag meghallgatasa elotti es utani allapotom kozott,No,,Female,3,0,4,0,2,Heard/read about it on the internet;,,hun,5,embedded,confusion,whitenoise,embedded,relaxation,Yes,No,confusion,whitenoise,No,No
22,18 - 24,4,Hungary,control,control,hypnosis,hypnosis,7,1,1,8,6,"I was already feeling sleepy before the excercise started, which only increased while I was sitting with my eyes closed. There were a few moments when I was afraid I'd fall asleep for real, and had to remind myself to stay alert. At other times I would feel agitated and impatient, wishing I could do something more productive instead, maybe go through with one of my usual meditations. Overall it was an uncomfortable experience. ","From the begining I felt both disappointed and agitated, since I had been very eager to try and experience hipnosis for real this time. Throughout the time Ispent with my eyes closed, I felt pretty alert, even restless, so naturally once I heard the recording start again I was very relieved. I'm sure this is an effective technique for relaxation, but since I came here expecting much more exciting events, all I could do throughout is think about how I'm going to describe my experience later. At least I didn't have to fight off sleepm this time.","From the start Iwas very anxcious to get 'properly hipnotised', so I'm hoping that this was finally it. This state I was in felt pretty close to what I'd experience during a meditation, but somehow it was different too. When I was left to just experience whatever I could, I was suprised to find that instead of the usual flow of thoughts my mind felt empty and looked like a white orb, full of light and only my inner monologue to keep me company. First I just marvelled at the experience, then I started telling my mind that from now on I'll be able to sleep better, have more energy to clean and cook and stay healthy in general, and to focus more during my studying sessions. Then at the very end for some reason I had the idea of telling my two hands to get further away from each other and then come back together again, I'm not sure if them obeying was the product of the hipnotic state I may have been in, but it was fun regardless. Coming back to my usual state felt different as well, during the previous two trials I could not wait to open my eyes fast enough, but now I was suprised at how in sinc my actions were with the instructions.","Now this was a bit different from the previous, I'm guessing more hypnotic state, this felt more like meditation. For starters, I felt I had to actively participate in maintaining my focus, my mind wasn't as empty as before, and on a few ocasions I found myself drifting away, completely absorbed in my plans about what to eat later, or which path I'm gonna take once I'm done here and can walk away. Nevertheless I tried, once again giving suggestions to myself about better sleep and whatnot, but I'm afraid it won't be half as potent as I felt i t was last time. Returning was also a bit less controlled by the audio I was listening to, but still far from what it was like during the two control tasks. Anyhow, my mind went a bit gray and foggy on a few ocasions and my ability to stay in the moment definitely decreased, but it was still somewhat relaxing I guess.",No,,Female,1,1,9,7,3,Attended a lecture about hypnosis,,eng,9,relaxation,whitenoise,confusion,relaxation,embedded,Yes,No,relaxation,whitenoise,No,No
23,25 - 34,4,Magyarország,control,hypnosis,control,hypnosis,5,7,7,10,5,"Nagyon kellemes, nyugodt érzés.
Mély állapot, már már kezdtem úgy érezni, hogy elalszok, de sokszor magamhoz értem és újra vissza kellett térni a nyugodt harmonikus állapotba. 
A számolásnál a végén magamnál voltam, bár egy pillanatra úgy éreztem, hogy nem tudok mozdulni. ","Semmi különöset nem éreztem. 
Nem igazán tudtam koncentrálni a testről bemutatott szövegre.
Éber voltam és elvonta a figyelmem az éhség érzete. ","Kissé zavaró volt, hogy kintről beszédet hallottam. 
A fejhallgató már nagyon kényelmetlen. 
Nem tudtam koncentrálni a hipnózisra, nem éreztem semmit. Teljesen magamnál voltam.","Semmi különös nem volt.
Úgy érzem, nem tudok koncentrálni. ",Yes,"Külső tényezők: kényelmetlen fejhallgató, illetve a sapka pántja vágott. Sokszor behallható volt beszéd hang(férfi)és ajtó becsukódás. 
A második \hipnózis\"" során hirtelen kiszáradás érzete és ezért koncentrációs zavarok léptek fel.   """,Male,8,0,0,0,8,Heard/read about it on the internet;,,hun,8,confusion,whitenoise,embedded,relaxation,confusion,Yes,Yes,embedded,relaxation,No,No
24,18 - 24,4,Magyarország,control,hypnosis,control,hypnosis,9,1,7,1,7,"Néha kényelmetlenül ültem, ezért helyezkedni kezdtem, ami után kicsit bűntudatom lett, mert tartottam attól, hgy mez megzavarja a kísérlet menetét. Volt néhány perc, amikor úgy éreztem, valóban bekövetkezik az az egyre mélyebbre való zuhanás, amit az elején a számolással kellett volna elérni. De éreztem bizonyos fokú elmélyülést, nem mélyebbet, mint amit meditációban szoktam.","Meglepődtem, hogy be kellett volna csukni a szememet, végig nyitva tartottam. Nem éreztem magamat elmélyültebben, mint az első után, csak mintha lassabban történtek volna az események. Néha megmozdítottam a karomat, lábamat, de azok a mozdulatok is lassabban mentek, mint az első rész alatt. ","Kissé ideges voltam, vártam, hogy újra megszólaljon a hang. Nem éreztem magamat elmélyültebbnek, mint egy átlagos nap végén, elalváskor. Ez volt eddig a legkevésbé pihentető a három rész közül. Sok, átlagos gondolatom támadt közben.","Most talán még idegesebb voltam, mint az előző alkalommal. Valamiért nem találtam meg a kényelmes pózt, nem tudtam elmélyülni úgy, ahogy azt szerettem volna. 
",Yes,"Volt, hogy nem tudtam elhelyezkedni megfelelően, és az utolsó két feladatnál egészen idegesnek éreztem magam.",Female,2,4,0,1,6,Attended a lecture about hypnosis;Read scientific literature about hypnosis;,,hun,8,embedded,relaxation,embedded,whitenoise,confusion,Yes,No,confusion,relaxation,No,No
25,18 - 24,2,Magyarorszag,control,hypnosis,control,hypnosis,7,4,8,1,4,"Ereztem a testemen, hogy teljesen el volt lazulva az egesz. Sajnos az elmemet nem tudtam maximalisan csendben tartani, neha-neha elkalandozott a hetkoznapi emlekeimhez, gondolataimhoz","Sajnos nem ereztem sokkal nagyobb kulonbseget a mostani es az ez elotti hanganyag alatt. Ereztem, hogy a fejem es valahogy az egesz lelkem es a szivem is mintha nehezebb lenne, de ezenkivul semmi kulonoset. A tudatos es a tudatalatti enemet nem tudiom, hogy sikerult-e szetvalasztani, mert ugye v;gig figyeltem a hanganyagra, nem tudtam elvonatkoztatni tole","Egyaltalan semmi kulonlegeset nem ereztem, mivel mindvegig nyitva volt a szemem es csak egy csendes es lassu tortenetet hallgattam meg az emberi testrol. Sot, elegge untatott, a hosszu szunet idoszak alatt csak merengtem a gondolataimban es unatkoztam.","Kifejezettem az az allapot, amikor elmelyulve kellett az allapotban maradnom, az megint nem volt hihetetlenul hipnotikus elmeny, elmelyultem a gondolataimban, emlekeimben, de semmi kulonoset nem ereztem. Ellenben a feher zaj nagyon tetszett",No,,Female,3,4,0,0,1,Read book(s) about it;,,hun,9,whitenoise,relaxation,confusion,embedded,whitenoise,Yes,No,whitenoise,relaxation,No,No
26,18 - 24,4,Magyarország,control,hypnosis,hypnosis,control,7,4,7,8,4,"A fehér zaj hallatán először egy vízesés jutott eszembe, és oda csöppentem, majd magába, mintha a zajban lennék, olyannak képzeltem el, hogy ilyen lehet az univerzumban sodródni. Amúgy nem nagyon sikerült elmélyülni, olyan kezdeti meditatív állapotként írnám le, de úgy éreztem még jelen vagyok, tudatában voltam mi történik. Viszont jól esett, kellemes, nyugodt érzés volt, de járt az agyam mindenfelé.","Szintén egy kezdetleges meditatív állapotot éltem át, sikerült teljesen ellazulnom, kizárni a külvilágot, de nehéz leállítani a gondolataimat, ezért nem tudom azt mondani, hogy 100%-ig teljesült, az amit elképzeltem, de kicsit megtudtam feledkezni a mindennapi problémáktól, ami szuper érzés.","Nem tudom az adatok mit mondanak, vagy, hogy mennyire elmélyült hatást kéne átélnem, de én meg vagyok bizonyosodva róla, hogy teljesen itt vagyok és tudatában vagyok mindennek, ez így jó? :D Megint csak az ellazult, békés állapotot éreztem, az izmokról szóló bevezető után jobban fókuszáltam a testemre, hogy mit csinál. És elkezdtem éhes lenni, de amint véget ért a hipnózis, már nem éreztem éhség érzetet. Ez volt csak, ami más volt, mint az előző kettőnél. A testem zsigereinek érzése került középpontba.","Mélyebben, mélyebben, mélyebben...ez a szó ment eleinte a fejembe. Minél mélyebbre szeretnék ásni a tudatomban, és megtudni miért nem tudom kikapcsolni azt. Vagy megtudni mi zajlik pontosan ott és a tudatalattimba, bár azt lehet jobb nem tudni. Úgy érzem a testem eltud lazulni, de ébernek érzem magam a kavargó zajos gondoltok miatt, emiatt sosem tudtam teljesen ellazítani a tudatomat. Ezt promlémának érzem. Ilyeneken gondolkodtam közben, amúgy meg megint kellemes élmény volt, elvagyok a zsibongó tudatommal.",No,,Female,2,5,6,5,5,"Heard/read about it on the internet;Heard/read about it on radio, podcast;Personal experience (seen hypnosis used on someone else, e.g. clinical hypnosis or stage hypnosis);",,hun,10,relaxation,whitenoise,relaxation,embedded,confusion,No,Yes,relaxation,confusion,No,No
27,25 - 34,3,Magyarország,control,hypnosis,hypnosis,control,9,4,8,2,5,"Hát az elején jó volt. Pihentető, nyugtató, amikor a 10-től 1 fele számolt és azt mondta 3 körül, hogy most bármit megteszek, amit mondott, azért az felidegesített, mert persze, hogy nem teszek meg bármit. 

Aztán ellazultak az izmaim, ha nem is volt hipnózis, azért megnyugtató volt. 
Az első pár percben még nagyon pörögtek a gondolataim és kb a 3-4-ig perctől nyugodhattam le, de mivel arról nem volt utasítás, hogy a gondolataimat nyugtassam le, ezért egy idő után, ahogy kényelmes volt, elgondolkodtam a hétköznapi problémáimon. Bár jó volt ezekre így nyugodtan gondolni, s egy két megoldásban is megerősödtem. (Pl.: hogy reggel 6-tól délig 6 órán át tudok dolgozni a vállalkozásomban, s elég eredményesen haladhatok akkor. Ezért megérni időben lefeküdni, 11-12 óra körül).
Lehet erre nem voltak kíváncsiak, de azért leírtam, nekem ez lényeges volt közben. 
Aztán a torkom elkezdett kaparni, s elgondoltam, hogy nem kéne kinyissam a szemem, de mivel ez \csak\"" egy kontroll felmérés volts arról is volt szó hogy nyugodtan mozgathatom a kezem vagy a lábam ha úgy kényelmesebbígy úgy döntöttem hogy iszok egy kis vizet mert tovább nem bírom a torok kaparást. (Ez valószínüleg meglátszik majd az EEG felvételen). Az 1-10-ig számlálás alatt én úgy már úgy éreztem hogy rég aktív vagyok de azért olyan érzés is volt hogy jobban felébredek. Ásítottam egyet az 1 után. Illetve tök nagy öröm volt h ránéztem a tőlem balra lévő monitorras láttam az EEG- vonalakat s a szívem is :)""","A testem jobban el volt lazulva, mint az előzőnél. Nyugodtank éreztem magam. 
Közben sok mindenen pörgött az agyam: pl, hogy a fehér zajt, azt hiszem, hogy alvás közben jó, bizonyos fázisokban hatékony. 
Meg az jutott eszembe, hogy ennek olyan hangja van, mint a vízesésnek. S ha ez ilyen jó, akkor vízesés mellé költözve sokat lehetne hallgatni. De el is mehetnék sátorban aludni vízesés mellé. 
Aztán azon is gondolkodtam, hogy lehet, hogy szándékosan éppen fordítva van mondva-írva, hogy melyik a hiponózis, s melyik nem az? Mindenesetre, ez is tetszett. 

Aztán hagytam, hogy a fantáziám szárnyaljon tovább. Mivel kutatóként, adatelemzőként dolgozom most, ezért elképzeltem, hogy majd évek múlva, lehet én is ilyen kutató, egyetemi adjunktus. S mivel a jelenlegi álmom, hogy campervan-ben (lakókocsiban) éljek, ezért elképzeltem, hogy nagy egyetemi adjunktus vagyok, s néha az autómban lakok, s az egyetem területére behajtok autóval. Az emberek azt gondolják rólam, hogy bolond vagyok, hogy autóban élek, miközben egyetem igazgató vagyok, mégis a bolondságom mellett szeretem az embereket, s ez a lényeg.

Aztán a legvégén nagyon laza volt a testem, s kicsit olyan volt, mint ha nem is gondolkoznék, s élveztem az itt levést, az állapotot. Amikor szólt a hipnoterapeuta, hogy ébresztő, akkor igazán fel kellett ébredjek, mert ha nem is alvás közeli állapotban voltam, de azért nyugodtan. 

Te jó ég, az előbb is ásítottam, a monitoron pedig mindent összekarcolt :P","Előtte elképzletem ahogy barátaimnak azt mondtom, hogy mi a fasz volt ez?

De mikor kezdődött érdekes volt. 
Elgondolkodtam azon, hogy ilyen bizalmatlan vagyok egy terapeutával, hogy állandóan megfejteni akarom, hogy mikor van kísérlet, s mikor van becsapás. Hogy ilyen bizalmatlan vagyok? 

Aztán arra is gondoltam, hogy előzőnél le akartam írni, hogy közben azon is gondolkoztam, hogy le fogom írni a tapasztalatom (mert már tudtam, hogy utólag le fogom írni). 

Aztán azon is gondolkoztam, hogy én állandóan felülvizsgálom a saját cselekvésemet? Állandóan kontroll alatt akarom tartani magam? Most meg azon gondolkodom, hogy ekkora elismerésre vágyom, mert elképzelem, hogy különleges vagyok, s aki ezt olvassa felismeri, hogy egy tehetség vagyok, de legalábbis kirívó eset. 

Apun gondolkoztam még, amikor ő azt mondta, hogy nem gondolkozik párbeszédben a fejében, csak képileg gondolkozik. Én pedig nem hittem el. S húgom is ezt mondta, hogy csak úgy gondolkozik párbeszédben, ha képet is lát mellé. Én pedig tudok magammal párbeszédet folytatni. 

De lehet, hogy apu és húgom különleges ritka, akit nem ismertem fel? Lehet hogy ők híres ritkaságok lehetnének? S éppen nem ismertem fel őket? Ezt valahogy nem hittem el, amikor először hallottam őket, sőt, azt mondtam, h nem igaz. ","Elcsodálkoztam, hogy ennyi izmunk van. 
Meg eszembe jutott, hogy a volt osztálytársam (Romániában) tegnap azt mondta, hogy fáj maga. S arra utalt, hogy fájnak az izmai. Olyan szomorú, hogy a testünk ekkora nagy része izom, s ahoz képzest alig használjuk. 
Kellett volna mondjam neki, hogy ha így be van görcsölve az izma, hogy egy jó lehet elazítaná (nem velem, én itt vagyok Mo-n). 
Már megint azon is gondolkoztam, hogy aki ezt olvassa, mit gondolhat rólam, már az állapotban elgondoltam, hogy ezt leírom, nehogy félre értse az olvasó. 

Amúgy meg hol volt itt szubliminális hatás? Ok, értem, hogy a szubliminálist éppen nem fognám fel... na mindegy, de hatását sem éreztem. 
A végén untam, mint ahogy az első alkalom végét is. Próbáltam azért nem mocorogni, hogy ne rontsam el az EEG-t, mert itt a hölgyek kértek, hogy ne nagyon mocorogjak közben. 
De ezért egy két ásítás belement...
Szerintem a levegő is elfogyott ebben a teremben.

El is gondoltam, hogy mindenk kísérleti alany előtt kiszellősztetnek ugyan olyan hosszasan? Márhogy a kísérleti körülmény azonos legyen. (Kérdeztem a hölgyeket, hogy a villanyt szabad-e lekapcsolni, de mondták, hogy muszáj azonos maradjon a körülmény.) Jogos, semmi gond, csak gondolom az oxigén is fontos nekünk. Az utolsó bekezdésem már nem az alkalomról szól.  ",No,,Male,3,9,9,0,5,,,hun,9,confusion,relaxation,whitenoise,confusion,embedded,Yes,Yes,confusion,relaxation,No,No
28,18 - 24,3,Magyar,hypnosis,control,control,hypnosis,9,9,8,8,9,"Mintha félálomban feküdtem volna egy ringatózó csónakon. Furcsa zümmögő, bizsergő érzés volt az egész testemben, de kellemes és nyugodt élmény volt. Néha mintha kicsit elvesztettem volna, hogy most egy helyben ülök vagy dőlök vagy ringatózok. De voltak tisztább gondolataim, például, hogy éhes vagyok, vagy random emlékképek tegnapról. ","Kellemes, nyugodt állapot volt, a kezeim kellemesen elnehezültek. Több tiszta gondolatom is volt. A számolásnál, már kettőnél kinyitottam a szemem, sokkal konnyebb volt visszatérni az éber állaoptba. A fülhallagó húzta a hajam, ami eléggé zavart, de nem mertem  megigazítani. Nem éreztem bizsergést, csak kellemes elnehezesést. Most azt sem éreztem volna, hogy ringatóznék vagy ne tudnám behatárolni, hogy pontosan milyen pozícióban a van a testem. De nyugodt voltam.","Kellemes, olyamsi érzés volt, mint amikor lefekszem aludni és megjelennek ilyen emlékképek a napomról, amiket mintha megint átélnék. Szóval sok ilyen elég vivid emlékképem volt, főleg tegnapról, mint amikor az ember este végig gondolja  a napját, közben félig alszik... Eléggé ellazultam és lassan sikerült kijönni ebből az állapotból, nagyjából  a hatodik számolásra. ","Kellemes, bizsergő, nem tudnám megmondni mennyi ideig tatott. Eléggé hullámzó volt, hogy mennyire éreztem magam ellazultnak, de nem vártam az idő végét, mert kellemes volt ebben az állapotban lenni. Volt egy ilyen furcsa összefüggés egy dologgal kapcsolatban, ami egyszercsak hirtelen megfogalmazódott bennem, olyan ráébredés szerűen. A gondolataim olyanaok voltak, mintha valami meleg ködön keresztül értékelném őket. Néha jött egy-egy, hol tisztábban, hogy kevésbé isztán és voltak olyan időszakakok, amikor csak a meleg köd volt, a gondolatok nem. ",No,,Female,7,4,7,8,6,Attended a lecture about hypnosis;Read scientific literature about hypnosis;,,hun,8,confusion,confusion,embedded,relaxation,whitenoise,No,Yes,confusion,relaxation,No,No
29,18 - 24,0,turkey,control,hypnosis,hypnosis,control,5,3,5,5,5,i felt  calm and sleepy- the feeling you have when you are in a car and about the sleep on the way back home,this one felt more like resting after having a tiring day i felt tired but rested at the same time,i did not close my eyes as i was not told this time- i did not feel calm or rested it was more like listening a lecture and getting out of the zone my mind wanderedd off a lot,i felt half alert and in the beginning the noise felt a bit scary then i was okay i did not feel much ,No,,Female,4,3,1,2,0,Heard about it on TV or in a movie,,eng,6,relaxation,confusion,relaxation,embedded,whitenoise,Yes,Yes,embedded,confusion,No,No
30,18 - 24,3,Magyarország,control,control,hypnosis,hypnosis,8,0,0,8,9,"Kicsit féltem, hogy elalszok, mert szoktam időnként meditációt gyakorolni, főleg alvás előtt. Emiatt egy szokványos, igen ellazult állapotba kerültem. Kevés gondolatom támadt közben, és az idő múlásával egyre kevesebb.","Az előző, fehér zajos néhány perc alatt sokkal jobban le tudtam nyugodni, relaxálni. Engem kizökkentett a sok beszéd, nem volt hihető számomra. Csak azt látom magam előtt, ahogy a terapeuta suttog a mikrofonba, és ez kizökkent minden egyes alkalommal, nem tudom beleélni magam. Tudom, elmondták, hogy valódi hipnózis hiányában ugyanúgy lehet róla szó a felvételen, mégis zavaró számomra. Ezek a megjegyzések, például \most mély hipnózisban van...\"" mindig egy kicsit vissza-vissza rántanak a valóságba.""","Az előzőhöz hasonlóan zavart a terapeuta beszéde, felfigyeltem az ismétlődésekre, apró hangokra amelyek a beszéd során keletkeznek, és a levegővétel hangjára. Ezek továbbra is zavartak az ellazulásban. Voltak azonban nagyon rövid részek amikor bele tudtam feledkezni. Emiatt legjobb tudomásom szerint az \elmélyült állapotban maradós\"" részben sem éreztem semmi rendhagyót az előzőekhez képest simán csak relaxáltam. Valamivel hosszabbnak éreztem ezt az utolsó fázist az előbbieknél valamivel mélyeb relaxációt sikerült elérnem (szerintem) mint például a másodiknál de ezt nem az eltérő módszernek tudom be hiszen igen zavaró volt csak annak hogy már az előzőek után alapból valamelyest \""mélyebbről indultam\"".""","Szerintem elrontottam ezt a fázist. Nem rémlik, hogy a hang megkért volna a szemem becsukására, de nem zárom ki a lehetőséget, hogy csak figyelmetlen voltam. Ugyanakkor nagyon precízen igyekeztem teljesíteni minden utasítást, és az előző 3 alkalommal mindnél végig csukva tartottam a szemem, ahogy a hang kérte. Mindennek ellenére az elmélyülés alatt nem kalandoztak el a gondolataim túlságosan, főleg az elején még az említett izmok és működésük járt a fejemben, és a figyelmem saját magamon összpontosult ezekre a helyekre. Legszívesebben visszahallgatnám a felvételt, hogy elhangzott-e a \csukja be a szemét\"" és ha igen akkor megismételném ezt a részt.""",Yes,"Az összes beszédes rész ahol relaxálnom kellett volna igen zavaró volt, kivéve a negyediket, ahol az izmokról mesélt a hang. Ott a mesére koncentráltam, nem a hamisnak érződő suttogásra hiszen nem volt olyan.",Male,0,0,1,0,0,,,hun,7,embedded,whitenoise,relaxation,confusion,embedded,Yes,Yes,embedded,whitenoise,No,No
31,18 - 24,4,Magyarország,hypnosis,control,control,hypnosis,7,8,8,8,9,"Egy picit nyugotabb lettem, mint szoktam. Őszintén, nem érzékeltem semmivel másabbat, mint amikor az éber állapotomat mérték fel pár perccel korábban. ","Számomra ez sokkal hipnotikusabbnak tűnt, mint az előző. Sokkal jobban el tudtam lazulni, sokkal jobban a gondolataimba tudtam merülni. Küzdenem kellett, hogy el ne aludjak, Olyan érzés volt, mikor reggel kinyomom az ébresztőt, és 5 perc szundi alatt ebbe az állapotba kerülök. Számomra kellemetlen volt. Túlságosan hossszúnak érzékeltem a hang utáni szünetet, mérgessé és türelmetlenné váltam.","Most is nagyon álmos lettem, nehéz volt tartanom a fejemet. Többször is kirázott a hideg, de szerintem ez csak a szoba hőmérséklete miatt volt. Enyhén elindultak a gondolataim. Most is vártam már a végét a szünetnek, annyira, hogy kénytelen voltam ki-kinyitogatni a szemem. Nem tudom, lehet én csináltam vmit rosszul, bocsánat. Most nem lazultam el, sőt a szék kényelmetlenségét a fenekemben sokkal jobban éreztem. A tudatom tényleg elfelejtett néhány dolgot, de ami feltűnt, hogy ugyan azt mondta el kétszer, arra emlékszem. Illetve a szünet utáni nyelvbotlást már harmadszorra sem javították ki.","Nem monsta az elején, hogy csukjam be a szemem, ezért a történetet nyitott szemmel hallgattam végig. Érzéseimszerintem egyáltalán nem kerültem hipnotikus állapotba. A  várakozás kb felénél, mikor már becsuktam a szememe, utána megint lassult a lélegzetem és alvás előtti állapotba kerültem. A visszatííírő számoláskor el tudtam volna aludni.",No,"A második és főleg a harmadinkál fokozatosan növekvő frusztrációt éreztem. Ez nem tudom, hogy a kísérlet része volt, vagy a szobában lévő háttérzaj, a szék kényelmetlensége, a vezetékek miatti kényelmetlenség, a sapka súlya, vagy a fülhallgató  miatt kialakult fejfájásom, illetve az éhségem okozta, esetleg ezeknek az egyvelege. Csalódott vagyok, nagyobb hipnózishatást vártam. ",Female,2,6,2,0,5,Heard/read about it on the internet;,,hun,10,relaxation,relaxation,whitenoise,confusion,embedded,Yes,No,relaxation,whitenoise,No,No
